StationCode,date,exc_probability,actual_mpn
DHS114,2026-04-20,0.5100,5
DHS114,2026-04-27,0.2160,20
DHS114,2026-05-04,0.1470,5
DHS114,2026-05-11,0.1890,5
DHS114,2026-05-18,0.3690,20
DHS114,2026-05-26,0.2190,5
DHS114,2026-06-01,0.3650,5
DHS114,2026-06-08,0.1300,10
DHS114,2026-06-15,0.4950,5
DHS114,2026-06-22,0.1850,5
DHS115,2026-04-13,0.3620,20
DHS115,2026-04-14,0.3660,20
DHS115,2026-04-15,0.2940,5
DHS115,2026-04-17,0.5300,20
DHS115,2026-04-20,0.4980,10
DHS115,2026-04-21,0.4720,160
DHS115,2026-04-22,0.1710,5
DHS115,2026-04-23,0.3270,5
DHS115,2026-04-24,0.2600,5
DHS115,2026-04-27,0.4590,20
DHS115,2026-04-29,0.1100,5
DHS115,2026-04-30,0.1520,5
DHS115,2026-05-01,0.3940,5
DHS115,2026-05-04,0.2800,30
DHS115,2026-05-05,0.3300,5
DHS115,2026-05-07,0.1400,5
DHS115,2026-05-08,0.2600,5
DHS115,2026-05-11,0.2080,5
DHS115,2026-05-12,0.1910,5
DHS115,2026-05-13,0.1540,5
DHS115,2026-05-14,0.1770,5
DHS115,2026-05-15,0.2660,10
DHS115,2026-05-18,0.2740,5
DHS115,2026-05-19,0.1800,41
DHS115,2026-05-20,0.1740,20
DHS115,2026-05-21,0.1350,10
DHS115,2026-05-22,0.1380,5
DHS115,2026-05-25,0.1250,5
DHS115,2026-05-26,0.1280,5
DHS115,2026-05-27,0.1430,5
DHS115,2026-05-28,0.1600,5
DHS115,2026-05-29,0.1780,5
DHS115,2026-06-01,0.1860,10
DHS115,2026-06-02,0.1540,5
DHS115,2026-06-03,0.1220,5
DHS115,2026-06-04,0.1190,5
DHS115,2026-06-05,0.1360,20
DHS115,2026-06-08,0.1120,10
DHS115,2026-06-09,0.1100,5
DHS115,2026-06-10,0.1020,5
DHS115,2026-06-11,0.1190,5
DHS115,2026-06-12,0.1810,5
DHS115,2026-06-15,0.2540,5
DHS115,2026-06-16,0.2660,10
DHS115,2026-06-17,0.2640,5
DHS115,2026-06-18,0.1620,5
DHS115,2026-06-20,0.1370,5
DHS115,2026-06-22,0.1420,5
DHS115,2026-06-23,0.1220,5
DHS115,2026-06-24,0.1630,5
DHS115,2026-06-25,0.1520,5
DHS115,2026-06-26,0.1370,30
